date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2024-06-01,-52.1,-67.6,412549159,0.0663,0
2024-06-01,-52,-63,224710000,1.0655,0.6825
2024-06-01,-52,-63.4,224732000,0.2227,0.2227
2024-06-01,-52,-63,224967000,1.4725,1.4725
2024-06-01,-52,-75.5,412328785,0.8486,0
2024-06-01,-52,-75.5,412329633,0.668,0
2024-06-01,-52,-75.5,412331035,0.6172,0
2024-06-01,-52,-75.4,412331035,0.0691,0
2024-06-01,-52,-67.6,412420912,0.2344,0
2024-06-01,-52,-67.5,412420912,0.6522,0
2024-06-01,-52,-67.3,412421169,0.4972,0
2024-06-01,-52,-67.2,412421169,0.1416,0
2024-06-01,-52,-75.6,412549052,0.5577,0
2024-06-01,-52,-67.8,412549091,0.1141,0
2024-06-01,-52,-67.9,412549091,0.92,0
2024-06-01,-52,-75.5,412549121,0.2277,0
2024-06-01,-52,-67.6,412549139,0.4919,0
